YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2007.0,GMC,SAVANA CARGO AWD FFV,VAN - CARGO,5.3,8.0,A4,E,21.4,15.8,18.9,15.0,302.0
2005.0,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8.0,AS6,Z,13.4,9.1,11.5,25.0,264.0
2013.0,BMW,328i,COMPACT,2.0,4.0,M6,Z,9.0,5.6,7.5,38.0,172.0
2008.0,CHEVROLET,HHR PANEL,SUV,2.4,4.0,M5,Z,10.3,6.9,8.8,32.0,202.0
2012.0,GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A4,X,14.1,10.0,12.2,23.0,281.0
2002.0,MERCEDES-BENZ,S 55 AMG,FULL-SIZE,5.4,8.0,A5,Z,14.6,9.8,12.4,23.0,285.0
2015.0,CHEVROLET,SONIC 5,MID-SIZE,1.4,4.0,AS6,X,9.0,6.8,8.0,35.0,184.0
2003.0,HYUNDAI,ACCENT,COMPACT,1.6,4.0,M5,X,8.1,6.5,7.4,38.0,170.0
2020.0,BMW,M240i xDrive Coupe,Subcompact,3.0,6.0,AS8,Z,11.4,8.3,10.0,28.0,233.0
2014.0,KIA,RIO ECO,COMPACT,1.6,4.0,A6,X,7.3,5.3,6.4,44.0,147.0
2012.0,VOLKSWAGEN,JETTA,COMPACT,2.5,5.0,M5,X,9.9,6.2,8.2,34.0,189.0
2013.0,FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,X,7.8,5.5,6.8,42.0,156.0
2000.0,BMW,540i,COMPACT,4.4,8.0,A5,Z,13.1,8.8,11.2,25.0,258.0
2010.0,MERCEDES-BENZ,C 250,COMPACT,2.5,6.0,M6,Z,11.7,7.3,9.7,29.0,223.0
2012.0,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6.0,A6,Z,11.4,7.4,9.6,29.0,221.0
2014.0,NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,A5,X,12.2,9.0,10.7,26.0,246.0
2013.0,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8.0,A6,E,23.3,14.9,19.5,14.0,312.0
2005.0,LINCOLN,LS,MID-SIZE,3.9,8.0,AS5,Z,13.3,9.0,11.3,25.0,260.0
2016.0,MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6.0,AS7,Z,11.9,8.2,10.2,28.0,240.0
2021.0,Audi,RS 5 Sportback quattro,Mid-size,2.9,6.0,AS8,Z,13.1,9.3,11.4,25.0,266.0
2008.0,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,4.7,8.0,M6,X,17.1,12.4,15.0,19.0,345.0
2011.0,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,3.7,5.0,A4,X,12.6,8.8,10.9,26.0,251.0
2012.0,CADILLAC,ESCALADE AWD,SUV,6.2,8.0,A6,E,21.2,13.8,17.9,16.0,286.0
2006.0,CHRYSLER,CROSSFIRE ROADSTER,TWO-SEATER,3.2,6.0,M6,Z,14.1,8.5,11.6,24.0,267.0
2014.0,MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6.0,AS7,E,14.7,9.4,12.3,23.0,197.0
2006.0,INFINITI,G35 COUPE #,COMPACT,3.5,6.0,M6,Z,12.1,8.2,10.4,27.0,239.0
2005.0,MERCEDES-BENZ,CL 55 AMG,COMPACT,5.4,8.0,A5,Z,16.4,9.9,13.5,21.0,310.0
2014.0,VOLVO,XC90 AWD,SUV - STANDARD,3.2,6.0,AS6,X,13.3,8.6,11.2,25.0,258.0
2008.0,MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8.0,AS7,Z,18.0,10.6,14.7,19.0,338.0
2005.0,BMW,325xi SPORT WAGON,STATION WAGON - SMALL,2.5,6.0,M5,Z,12.4,8.2,10.5,27.0,242.0
2006.0,HONDA,ELEMENT 4X4,SUV,2.4,4.0,A4,X,11.2,8.8,10.1,28.0,232.0
2021.0,Cadillac,CT4-V,Compact,2.7,4.0,AS10,Z,11.5,8.2,10.0,28.0,234.0
2018.0,Nissan,Qashqai AWD,Station wagon: Small,2.0,4.0,AV,X,9.0,7.5,8.4,34.0,196.0
2006.0,FERRARI,F430 SPIDER,TWO-SEATER,4.3,8.0,M6,Z,18.8,12.4,15.9,18.0,366.0
2008.0,GMC,YUKON HYBRID,SUV,6.0,8.0,AV,X,9.8,9.2,9.5,30.0,218.0
2011.0,MERCEDES-BENZ,C 350 4MATIC,COMPACT,3.5,6.0,A7,Z,12.4,8.2,10.5,27.0,242.0
2018.0,Jeep,Cherokee 4X4 Active Drive Lock,SUV: Small,3.2,6.0,A9,X,12.9,9.9,11.6,24.0,269.0
2004.0,SATURN,ION,SUBCOMPACT,2.2,4.0,A5,X,10.2,6.7,8.6,33.0,198.0
2017.0,GMC,M4 CABRIOLET,UNKNOWN,4.8,8.0,A5,UNKNOWN,-51.0,,-53.0,29.0,251.0
2006.0,BMW,330xi,COMPACT,3.0,6.0,M6,Z,12.0,7.6,10.0,28.0,230.0
2005.0,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A4,E,19.6,13.6,16.9,17.0,270.0
2015.0,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209.0
2022.0,Ford,F-150 4X4 FFV,Pickup truck: Standard,3.3,6.0,AS10,E,17.3,13.1,15.4,18.0,256.0
2008.0,CHEVROLET,EQUINOX AWD,SUV,3.4,5.0,A5,X,12.5,8.4,10.7,26.0,246.0
2008.0,PONTIAC,G6,COMPACT,2.4,4.0,A4,X,9.6,6.5,8.2,34.0,189.0
2010.0,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6.0,A6,Z,11.9,7.9,10.1,28.0,232.0
2013.0,PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6.0,M6,Z,13.1,8.4,10.9,26.0,251.0
2022.0,Jeep,Wrangler JL Unlimited 4X4,SUV: Small,6.4,8.0,A8,Z,18.5,14.1,16.5,17.0,387.0
2013.0,BMW,335i xDRIVE COUPE,SUBCOMPACT,3.0,6.0,A6,Z,11.4,7.4,9.6,29.0,221.0
2009.0,LEXUS,LS 460 L,MID-SIZE,4.6,8.0,AS8,Z,12.9,8.2,10.8,26.0,248.0
2008.0,PONTIAC,WAVE 5,SUBCOMPACT,1.6,4.0,A4,X,9.0,6.2,7.8,36.0,179.0
2012.0,FORD,E150 VAN FFV,VAN - CARGO,5.4,8.0,A4,X,17.4,12.6,15.2,19.0,350.0
2001.0,JEEP,TJ 4X4,SUV,4.0,6.0,A3,X,15.7,12.4,14.2,20.0,327.0
2022.0,BMW,M3 Competition Sedan,Compact,3.0,6.0,AS8,Z,14.5,10.2,12.6,22.0,292.0
2000.0,MAZDA,626,MID-SIZE,2.0,4.0,A4,X,11.2,7.9,9.7,29.0,223.0
2013.0,MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8.0,AS7,Z,13.2,8.6,11.1,25.0,255.0
2013.0,HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4.0,AS6,X,10.1,6.7,8.6,33.0,198.0
2015.0,FORD,FOCUS,COMPACT,2.0,4.0,M6,X,10.2,7.3,8.9,32.0,205.0
2001.0,NISSAN,SENTRA,COMPACT,1.8,4.0,M5,X,8.8,6.2,7.6,37.0,175.0
2011.0,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8.0,A4,E,21.8,15.9,19.1,15.0,306.0
2017.0,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,13.4,10.0,11.9,24.0,279.0
2007.0,MERCEDES-BENZ,SL 600 TURBO,TWO-SEATER,6.0,12.0,A5,Z,18.5,11.5,15.4,18.0,354.0
2005.0,FORD,MUSTANG,COMPACT,4.0,6.0,AS5,X,12.4,8.5,10.7,26.0,246.0
2008.0,MERCEDES-BENZ,CL 550,COMPACT,5.5,8.0,A7,Z,15.1,9.4,12.5,23.0,288.0
2022.0,Chevrolet,Camaro,Subcompact,2.0,4.0,M6,Z,12.6,8.0,10.5,27.0,239.0
2001.0,FORD,CROWN VICTORIA NGV,FULL-SIZE,4.6,8.0,A4,N,15.6,9.4,12.8,22.0,242.0
2004.0,MAZDA,B2300,PICKUP TRUCK - STANDARD,2.3,4.0,M5,X,10.0,7.4,8.8,32.0,202.0
2019.0,Ram,1500,Pickup truck: Standard,5.7,8.0,A8,X,16.2,10.5,13.6,21.0,320.0
2020.0,Jeep,Wrangler Unlimited 4X4 EcoDiesel,SUV: Small,3.0,6.0,A8,D,10.6,8.1,9.5,30.0,255.0
2020.0,Lamborghini,Huracan Coupe,Two-seater,5.2,10.0,AM7,Z,18.0,12.9,15.7,18.0,370.0
2011.0,PORSCHE,BOXSTER,TWO-SEATER,2.9,6.0,AS7,Z,10.2,6.7,8.6,33.0,198.0
,FORD,NX 300 AWD F SPORT,SUV,3.0,4.0,A8,X,11.3,5.9,12.2,24.0,
2015.0,PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6.0,AM7,Z,12.3,8.9,10.8,26.0,248.0
2010.0,GMC,SIERRA DENALI AWD,PICKUP TRUCK - STANDARD,6.2,8.0,A6,Z,17.8,10.7,14.6,19.0,336.0
2017.0,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6.0,AS6,X,13.2,10.7,12.0,24.0,283.0
2010.0,JEEP,GRAND CHEROKEE 4X4,SUV,3.7,6.0,A5,X,13.9,10.1,12.2,23.0,281.0
2003.0,INFINITI,G35 SEDAN,COMPACT,3.5,6.0,AS5,X,12.6,8.4,10.7,26.0,246.0
2013.0,MERCEDES-BENZ,C 250,COMPACT,1.8,4.0,AS7,Z,9.5,6.2,8.1,35.0,186.0
2012.0,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8.0,A8,Z,13.9,8.6,11.5,25.0,264.0
2004.0,MINI,COOPER S #,MINICOMPACT,1.6,4.0,M6,Z,9.5,6.3,8.1,35.0,186.0
2017.0,AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,Z,12.0,8.6,10.5,27.0,246.0
2006.0,LINCOLN,MARK LT,PICKUP TRUCK - STANDARD,5.4,8.0,A4,X,16.2,11.4,14.0,20.0,322.0
2006.0,SUBARU,IMPREZA WRX SEDAN AWD,SUBCOMPACT,2.5,4.0,M5,Z,12.0,8.3,10.3,27.0,237.0
2020.0,Aston Martin,Vantage V8,Two-seater,4.0,8.0,A8,Z,13.1,9.6,11.5,25.0,270.0
2022.0,Chevrolet,Camaro SS,Subcompact,6.2,8.0,M6,Z,14.9,9.9,12.6,22.0,296.0
2007.0,BMW,328xi COUPE,SUBCOMPACT,3.0,6.0,M6,Z,12.2,7.7,10.2,28.0,233.0
2022.0,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8.0,A10,X,15.9,12.4,14.3,20.0,336.0
2011.0,GMC,YUKON XL,SUV,5.3,8.0,A6,E,19.5,12.6,16.4,17.0,262.0
2009.0,BMW,328i xDRIVE SEDAN,COMPACT,3.0,6.0,A6,Z,11.9,7.8,10.0,28.0,230.0
2014.0,VOLVO,XC60 AWD,SUV - SMALL,3.0,6.0,AS6,X,11.9,8.3,10.3,27.0,237.0
2012.0,KIA,FORTE KOUP,COMPACT,2.4,4.0,M6,X,9.2,6.2,7.9,36.0,182.0
2008.0,GMC,YUKON,SUV,6.2,8.0,A6,Z,17.5,10.6,14.4,20.0,331.0
2009.0,ACURA,TL AWD,MID-SIZE,3.7,6.0,AS5,Z,12.3,8.1,10.4,27.0,239.0
2000.0,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3.0,6.0,A4,X,14.7,10.6,12.9,22.0,297.0
2001.0,HONDA,CIVIC,COMPACT,1.7,4.0,M5,X,7.4,5.7,6.6,43.0,152.0
2020.0,Subaru,Outback AWD,SUV: Small,2.4,4.0,AV8,X,10.1,7.9,9.1,31.0,213.0
2018.0,Porsche,Cayenne GTS,SUV: Standard,3.6,6.0,A8,Z,14.5,10.4,12.6,22.0,296.0
2020.0,Nissan,Altima AWD SR/Platinum,Mid-size,2.5,4.0,AV,X,9.3,6.7,8.1,35.0,190.0
2015.0,DODGE,CHALLENGER (MDS),MID-SIZE,6.4,8.0,A8,Z,15.7,9.5,12.9,22.0,297.0
2014.0,LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2.0,4.0,AS9,Z,9.9,6.6,8.4,34.0,193.0
2003.0,VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6.0,M5,Z,11.9,7.7,10.0,28.0,230.0
2014.0,JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,Z,14.2,8.6,11.7,24.0,269.0
2014.0,VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6.0,A6,Z,10.9,7.4,9.4,30.0,216.0
2018.0,BMW,430i xDrive Coupe,Compact,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0
2017.0,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6.0,A6,X,16.0,10.9,13.7,21.0,322.0
2000.0,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6.0,A4,X,14.5,9.5,12.2,23.0,281.0
2007.0,DODGE,CALIBER,MID-SIZE,2.0,4.0,AV,X,9.0,7.3,8.3,34.0,191.0
2003.0,PONTIAC,VIBE AWD,STATION WAGON - SMALL,1.8,4.0,A4,X,9.1,6.9,8.1,35.0,186.0
2017.0,FORD,FUSION,MID-SIZE,1.5,4.0,AS6,X,10.0,7.0,8.7,32.0,204.0
2014.0,CHEVROLET,SONIC 5,MID-SIZE,1.4,4.0,AS6,X,7.8,5.6,6.8,42.0,156.0
2009.0,VOLKSWAGEN,GTI,COMPACT,2.0,4.0,M6,Z,10.0,6.6,8.5,33.0,196.0
2016.0,PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31.0,217.0
2010.0,VOLVO,C70 T5,SUBCOMPACT,2.5,5.0,AS5,X,11.3,7.2,9.5,30.0,218.0
2011.0,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,5.3,8.0,A4,X,14.4,9.9,12.4,23.0,285.0
2011.0,MAZDA,TRIBUTE 4X4 FFV,SUV,3.0,6.0,A6,E,16.2,11.9,14.2,20.0,227.0
2015.0,FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,X,8.9,6.2,7.7,37.0,177.0
2020.0,Audi,S8,Full-size,4.0,8.0,AS8,Z,17.6,10.7,14.5,19.0,339.0
2010.0,SUBARU,OUTBACK PZEV,SUV,2.5,4.0,AV,X,9.5,6.9,8.4,34.0,193.0
2004.0,KIA,MAGENTIS,MID-SIZE,2.4,4.0,A4,X,10.9,7.2,9.2,31.0,212.0
,SUZUKI,COOPER S PACEMAN ALL4,UNKNOWN,4.3,,A7,UNKNOWN,-98.0,6.8,-44.0,-31.0,338.0
2004.0,MERCEDES-BENZ,SLK 32 AMG #,TWO-SEATER,3.2,6.0,A5,Z,13.8,9.6,11.9,24.0,274.0
2010.0,LEXUS,IS 250,SUBCOMPACT,2.5,6.0,AS6,Z,9.8,6.7,8.4,34.0,193.0
2017.0,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,14.0,11.0,12.7,22.0,298.0
2009.0,SAAB,9-3 SPORTCOMBI AWD TURBO,STATION WAGON - SMALL,2.0,4.0,AS6,Z,11.9,7.2,9.8,29.0,225.0
2018.0,MINI,John Cooper Works Countryman ALL4,Mid-size,2.0,4.0,M6,Z,11.5,8.0,9.9,29.0,232.0
2020.0,BMW,750i xDrive Sedan,Full-size,4.4,8.0,AS8,Z,14.5,9.9,12.4,23.0,290.0
2016.0,HONDA,HR-V,SUV - SMALL,1.8,4.0,AV,X,8.3,6.7,7.6,37.0,177.0
2002.0,PONTIAC,GRAND PRIX,MID-SIZE,3.1,6.0,A4,X,11.7,7.6,9.9,29.0,228.0
2018.0,BMW,M240i Coupe,Subcompact,3.0,6.0,M6,Z,12.5,8.4,10.7,26.0,249.0
2015.0,FORD,EDGE AWD,SUV - SMALL,3.5,6.0,AS6,X,13.7,9.6,11.8,24.0,271.0
2004.0,FORD,MUSTANG,SUBCOMPACT,3.9,6.0,M5,X,11.7,7.4,9.8,29.0,225.0
2021.0,GMC,Canyon 4WD,Pickup truck: Small,3.6,6.0,A8,X,14.9,10.9,13.1,22.0,306.0
2002.0,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A4,X,16.1,11.6,14.1,20.0,324.0
2009.0,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,5.3,8.0,A4,X,13.6,9.6,11.8,24.0,271.0
2011.0,MITSUBISHI,OUTLANDER 4WD,SUV,2.4,4.0,AV,X,9.1,7.0,8.2,34.0,189.0
2010.0,CHEVROLET,HHR,SUV,2.4,4.0,M5,E,12.6,8.8,10.9,26.0,174.0
2013.0,LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10.0,M6,Z,18.7,11.5,15.5,18.0,356.0
2000.0,BMW,740iL,FULL-SIZE,4.4,8.0,A5,Z,13.8,9.2,11.7,24.0,269.0
2021.0,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4.0,AM7,Z,9.8,7.6,8.8,32.0,205.0
2019.0,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8.0,A10,Z,17.1,11.3,14.5,19.0,340.0
2016.0,MINI,DAKOTA 4X2,UNKNOWN,3.0,4.0,AS8,X,16.1,9.8,12.7,,-42.0
2006.0,BMW,760Li,FULL-SIZE,6.0,12.0,A6,Z,15.8,9.5,13.0,22.0,299.0
2003.0,PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.6,6.0,AS5,Z,13.8,9.2,11.7,24.0,269.0
2001.0,CHEVROLET,ASTRO CARGO AWD,VAN - CARGO,4.3,6.0,A4,X,15.5,10.9,13.4,21.0,308.0
2020.0,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6.0,A8,X,15.0,13.0,14.1,20.0,331.0
2000.0,MERCEDES-BENZ,E 320 WAGON,STATION WAGON - MID-SIZE,3.2,6.0,A5,Z,11.7,8.1,10.1,28.0,232.0
2016.0,CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,AV,X,7.6,5.7,6.7,42.0,157.0
2018.0,Mitsubishi,RVR 4WD,SUV: Small,2.0,4.0,AV6,X,10.1,8.2,9.2,31.0,213.0
2009.0,MERCEDES-BENZ,C 230,COMPACT,2.5,6.0,M6,Z,11.8,7.4,9.8,29.0,225.0
2009.0,BMW,535i xDRIVE TOURING,STATION WAGON - MID-SIZE,3.0,6.0,M6,Z,13.5,8.5,11.2,25.0,258.0
2009.0,CHEVROLET,TRAVERSE AWD,SUV,3.6,6.0,A6,X,13.1,8.8,11.1,25.0,255.0
2015.0,VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4.0,AS6,Z,11.7,9.4,10.7,26.0,246.0
2002.0,HYUNDAI,ELANTRA,COMPACT,2.0,4.0,M5,X,9.6,6.5,8.2,34.0,189.0
2022.0,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8.0,A6,X,16.2,12.3,14.5,19.0,341.0
2019.0,Jaguar,F-TYPE Convertible,Two-seater,2.0,4.0,AS8,Z,10.2,7.8,9.2,31.0,215.0
2016.0,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.4,10.4,12.6,22.0,295.0
2018.0,Mercedes-Benz,AMG SL 65,Two-seater,6.0,12.0,A7,Z,17.6,10.8,14.5,19.0,339.0
2002.0,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,1.8,4.0,M6,Z,11.7,7.7,9.9,29.0,228.0
2009.0,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,AM6,Z,16.4,10.3,13.7,21.0,315.0
2013.0,PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,11.0,7.3,9.3,30.0,214.0
2016.0,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4.0,AS6,X,11.6,8.0,10.0,28.0,234.0
2015.0,RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,13.9,9.5,11.9,24.0,274.0
2022.0,Ford,F-150 4X4 FFV (Without Stop-Start),Pickup truck: Standard,5.0,8.0,AS10,X,15.1,10.7,13.1,22.0,308.0
2021.0,Toyota,Highlander Hybrid AWD Limited/Platinum,SUV: Standard,2.5,4.0,AV,X,6.6,6.8,6.7,42.0,156.0
2022.0,Cadillac,CT4-V,Compact,2.7,4.0,AS10,Z,11.9,8.2,10.2,28.0,239.0
2013.0,BUICK,REGAL GS,MID-SIZE,2.0,4.0,M6,Z,11.1,7.4,9.4,30.0,216.0
2018.0,Acura,MDX Hybrid AWD,SUV: Small,3.0,6.0,AM7,Z,9.1,9.0,9.0,31.0,210.0
2018.0,Subaru,Impreza 4-Door AWD,Mid-size,2.0,4.0,M5,X,10.0,7.5,8.9,32.0,208.0
2010.0,MERCEDES-BENZ,ML 350 4MATIC,SUV,3.5,6.0,A7,Z,14.1,10.1,12.3,23.0,283.0
2018.0,GMC,Canyon,Pickup truck: Small,3.6,6.0,A8,X,13.4,9.6,11.7,24.0,274.0
2013.0,INFINITI,M37,MID-SIZE,3.7,6.0,AS7,Z,11.3,7.5,9.6,29.0,221.0
2020.0,Mazda,CX-9 4WD,SUV: Small,2.5,4.0,AS6,X,11.6,9.1,10.5,27.0,244.0
2014.0,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4.0,M6,X,10.4,7.0,8.9,32.0,205.0
2008.0,GMC,SAVANA CARGO AWD FFV,VAN - CARGO,5.3,8.0,A4,E,21.4,16.4,19.2,15.0,307.0
2001.0,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,D,5.7,4.4,5.1,55.0,138.0
2016.0,JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4.0,M6,X,9.9,7.5,8.8,32.0,203.0
2009.0,HYUNDAI,TUCSON,SUV,2.0,4.0,M5,X,10.5,7.6,9.2,31.0,212.0
2019.0,Acura,MDX SH-AWD,SUV: Small,3.5,6.0,AS9,Z,12.2,9.0,10.8,26.0,252.0
2022.0,Cadillac,XT5 AWD,SUV: Small,2.0,4.0,AS9,Z,11.2,8.7,10.1,28.0,237.0
2020.0,Kia,Sportage,SUV: Small,2.4,4.0,AS6,X,10.1,7.6,9.0,31.0,214.0
2015.0,KIA,RIO ECO,COMPACT,1.6,4.0,AS6,X,8.5,6.3,7.6,37.0,175.0
2022.0,Ford,Bronco Sport 4WD,SUV: Small,1.5,3.0,A8,X,9.3,8.4,8.9,32.0,209.0
2022.0,Mitsubishi,Mirage,Compact,1.2,3.0,M5,X,7.1,5.8,6.5,43.0,151.0
2005.0,CHRYSLER,SEBRING,MID-SIZE,2.7,6.0,A4,X,11.2,7.8,9.7,29.0,223.0
2020.0,BMW,M240i Coupe,Subcompact,3.0,6.0,AS8,Z,11.4,8.1,9.9,29.0,231.0
2014.0,INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,11.3,7.5,9.6,29.0,221.0
2016.0,CHEVROLET,UNKNOWN,Full-size,-74.0,8.0,AV,Z,12.3,-28.0,11.6,22.0,246.0
2015.0,TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,14.5,11.3,13.1,22.0,301.0
2010.0,GMC,YUKON XL,SUV,5.3,8.0,A6,E,19.6,12.6,16.5,17.0,264.0
2009.0,LINCOLN,TOWN CAR FFV,FULL-SIZE,4.6,8.0,A4,E,18.1,11.6,15.2,19.0,243.0
2015.0,MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4.0,AM6,Z,14.2,10.5,12.5,23.0,288.0
2007.0,KIA,RIO,COMPACT,1.6,4.0,A4,X,8.1,5.7,7.0,40.0,161.0
2012.0,KIA,OPTIMA,MID-SIZE,2.4,4.0,M6,X,8.7,5.7,7.4,38.0,170.0
2007.0,HONDA,ELEMENT AWD,SUV,2.4,4.0,A5,X,11.0,8.3,9.8,29.0,225.0
2020.0,Mercedes-Benz,Metris Cargo,Special purpose vehicle,2.0,4.0,A7,Z,11.1,9.8,10.5,27.0,247.0
2022.0,Ford,Expedition 4X4 (Without Stop-Start),SUV: Standard,3.5,6.0,AS10,X,15.4,11.2,13.5,21.0,317.0
2015.0,KIA,FORTE,MID-SIZE,1.8,4.0,M6,X,9.3,6.3,7.9,36.0,182.0
2010.0,HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,A4,X,7.8,5.8,6.9,41.0,159.0
2013.0,TOYOTA,COROLLA,COMPACT,1.8,4.0,A4,X,7.8,5.7,6.8,42.0,156.0
2019.0,Chevrolet,Malibu Hybrid,Mid-size,1.8,4.0,AV,X,4.8,5.5,5.1,55.0,121.0
2000.0,MERCEDES-BENZ,ML 320,SUV,3.2,6.0,A5,Z,14.4,10.9,12.8,22.0,294.0
2017.0,BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,X,15.7,10.6,13.4,21.0,315.0
2007.0,SUZUKI,SX4 JX/JLX AWD,STATION WAGON - SMALL,2.0,4.0,A4,X,9.9,7.1,8.6,33.0,198.0
2006.0,DODGE,MAGNUM,SUV,2.7,6.0,A4,X,11.4,7.7,9.7,29.0,223.0
2006.0,MERCEDES-BENZ,S 430W 4-MATIC #,FULL-SIZE,4.3,8.0,A5,Z,14.2,9.7,12.2,23.0,281.0
2009.0,FORD,EXPLORER 4X4,SUV,4.6,8.0,A6,X,15.5,10.4,13.2,21.0,304.0
2019.0,BMW,M760Li xDrive,Full-size,6.6,12.0,AS8,Z,17.7,11.9,15.1,19.0,355.0
2015.0,TOYOTA,VENZA,SUV - SMALL,3.5,6.0,AS6,X,12.5,9.0,10.9,26.0,251.0
2009.0,ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,A6,Z,18.1,11.4,15.1,19.0,347.0
2021.0,Subaru,WRX STI AWD,Compact,2.5,4.0,M6,Z,14.4,10.8,12.8,22.0,301.0
2011.0,PORSCHE,911 TURBO S,MINICOMPACT,3.8,6.0,AS7,Z,12.7,8.1,10.6,27.0,244.0
2009.0,PONTIAC,MONTANA SV6,MINIVAN,3.9,6.0,A4,X,13.1,8.5,11.1,25.0,255.0
2021.0,BMW,X5 M Competition,SUV: Standard,4.4,8.0,AS8,Z,17.9,13.0,15.7,18.0,364.0
2016.0,MERCEDES-BENZ,AMG GT S,TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22.0,303.0
2004.0,PONTIAC,AZTEK AWD,SUV,3.4,6.0,A4,X,13.7,9.6,11.9,24.0,274.0
2008.0,VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4.0,M6,Z,10.1,6.8,8.6,33.0,198.0
2002.0,DODGE,CARAVAN FFV,MINIVAN,3.3,6.0,A4,E,18.3,12.1,15.5,18.0,248.0
2000.0,VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4.0,A4,Z,10.5,7.9,9.3,30.0,214.0
2008.0,PONTIAC,G6,COMPACT,3.6,6.0,AS6,X,12.2,7.8,10.2,28.0,235.0
2010.0,MAZDA,RX-8,SUBCOMPACT,1.3,2.0,M6,Z,12.8,9.2,11.2,25.0,258.0
2015.0,KIA,SORENTO,SUV - SMALL,2.4,4.0,AS6,X,11.8,8.7,10.4,27.0,239.0
